ID,Drug Name,Targets,Z Score,Count
"1843","LMP744","TOP1","-1.5928672467179572","278"
"1179","MK-1775","WEE1, PLK1","-1.5899307340922435","278"
"1866","BDP-00009066","MRCKB_HUMAN","-1.5896721231090962","278"
"1908","Ulixertinib","ERK1, ERK2","-1.5851912854563459","278"
"1630","Entospletinib","SYK","-1.5847792303639194","278"
"1046","Wee1 Inhibitor","WEE1, CHEK1","-1.5712427798749293","278"
"1059","AZD8055","MTORC1, MTORC2","-1.570736458881453","278"
"1088","Irinotecan","TOP1","-1.5707156843091985","278"
"1057","Dactolisib","PI3K (class 1), MTORC1, MTORC2","-1.5650160098919015","278"
"1712","Eg5_9814","KSP11","-1.5609284988595409","278"
"1441","AZD2014","mTORC1, mTORC2","-1.5530376026201602","278"
"1580","GSK2801","","-1.550133009346383","278"
"1594","OSI-027","MTORC1, MTORC2","-1.5475327618215775","278"
"2157","A-366","EHMT1, EHMT2","-1.542808954730742","278"
"1051","Alisertib","AURKA","-1.542229856310898","278"
"1061","SB590885","BRAF","-1.5413959346137085","278"
"1401","AZD5438","CDK2","-1.5321296979170538","278"
"1563","EPZ5676","DOT1L","-1.5015217021262088","278"
"1785","LMB_AB3","PPP1R15B","-1.4911422505073291","278"
"1936","Savolitinib","MET","-1.4842986332884966","278"
"1030","KU-55933","ATM","-1.4728453257941978","278"
"2109","AZ6102","TNKS1, TNKS2","-1.4617604789708363","278"
"1250","AZ960","JAK2, JAK3","-1.4429035911570331","278"
"2107","LJI308","RSK2, RSK1, RSK3","-1.4426986866722313","278"
"1190","Gemcitabine","Pyrimidine antimetabolite","-1.4404205160351005","278"
"1006","Cytarabine","Antimetabolite","-1.4375415602217581","278"
"1068","Obatoclax Mesylate","BCL2, BCL-XL, BCL-W, MCL1","-1.4263509607113354","278"
"2044","Pyridostatin","G-quadruplex stabiliser","-1.4245931318648901","278"
"1072","Avagacestat","Amyloid beta20, Amyloid beta40","-1.4145810509055456","278"
"1779","GSK626616AC","DYRK1A","-1.4114428697010706","278"
"1239","YK-4-279","RNA helicase A","-1.4021659545736476","278"
"1634","AGI-6780","IDH2 R140Q mutant","-1.4015346317451387","278"
"1177","Niraparib","PARP1, PARP2","-1.3897319916700388","278"
"1708","CDK9_5576","CDK9","-1.3869816921575013","278"
"1036","PLX-4720","BRAF","-1.3788386762586127","278"
"1199","Tamoxifen","ESR1","-1.3769634761531091","278"
"1529","Pevonedistat","NAE","-1.3753104036897541","278"
"1020","Lenalidomide","CRBN","-1.3733717546908601","278"
"1259","Talazoparib","PARP1, PARP2","-1.3692146346160001","278"
"1586","BDILV000379a","BAZ2A, BAZ2B","-1.3679986113978109","278"
"1200","Fulvestrant","ESR","-1.367802315365058","278"
"1249","BMS-345541","IKK-1, IKK-2","-1.3604622639388231","278"
"1038","NU7441","DNAPK","-1.3549644321898053","278"
"1091","BMS-536924","IGF1R, IR","-1.3513771189991948","278"
"1085","Sorafenib","PDGFR, KIT, VEGFR, RAF","-1.348680832153587","278"
"1925","GDC0810","ESR1, ESR2","-1.3433208113215351","278"
"1022","AZD7762","CHEK1, CHEK2","-1.3332169434682797","278"
"2096","VX-11e","ERK2","-1.3314035543115028","278"
"1631","PRT062607","SYK","-1.3037198206253766","278"
"2047","Ulixertinib","ERK1, ERK2","-1.296609554062786","278"
"2048","Vinorelbine","Microtubule destabiliser","-1.2787547347358847","278"
"1826","50869","","-1.2773216383422532","278"
"1494","SN-38","TOP1","-1.2728352927690891","278"
"1802","Zoledronate"," ","-1.2720102963581956","278"
"2145","PBD-288","","-1.2699789078062376","278"
"1584","BDOCA000347a","BRPF1, BRPF2, BRPF3","-1.2637221502237499","278"
"1783","LMB_AB1","ADRA1A, ADRB1","-1.2624032430437788","278"
"1449","AZD1208","PIM1, PIM2, PIM3","-1.2599198932417008","278"
"1776","GSK2256098C","FAK1","-1.256190143960854","278"
"1845","Schweinfurthin A","","-1.2545347511487013","278"
"1855","KRAS (G12C) Inhibitor-12","KRAS (G12C)","-1.2518497456713171","278"
"1050","ZM447439","AURKA, AURKB","-1.2409058408018496","278"
"1559","Luminespib","HSP90","-1.2309421558104363","278"
"1913","AGI-5198","IDH1 (R132H)","-1.2189081161258268","278"
"1810","Mitoxantrone","TOP2","-1.1923932771782766","278"
"1034","Staurosporine","Broad spectrum kinase inhibitor","-1.184954445207643","278"
"1013","Nilotinib","ABL","-1.1822056315711316","278"
"1873","Buparlisib","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","-1.1731771250941534","278"
"1375","Temozolomide","DNA alkylating agent","-1.1670771728411256","278"
"1621","PCI-34051","HDAC8, HDAC6, HDAC1","-1.1612130651282138","278"
"2113","VTP-B","","-1.1601186197680817","278"
"1862","MG-132","Proteasome, CAPN1","-1.1455339657258554","278"
"1780","GSK3337463A","NIK","-1.1433645130546055","278"
"1033","Vismodegib","SMO","-1.1408635943983498","278"
"1583","GSK-LSD1","KDM1","-1.1384429668558667","278"
"1844","776928","","-1.1352115318578797","278"
"1029","Motesanib","VEGFR, RET, KIT, PDGFR","-1.1337204250864661","278"
"1613","VE-822","ATR","-1.1332265371661812","278"
"1854","MN-64","TNKS1, TNKS2","-1.1166985999168082","278"
"1021","Axitinib","PDGFR, KIT, VEGFR","-1.1060883977685083","278"
"2170","AT13148","AKT1","-1.0969047263446334","278"
"1998","BPD-00008900","","-1.0760325928402481","278"
"2171","BMS-754807","IGF1R, IR","-1.0754464909891797","278"
"1932","NVP-ADW742","IGF1R","-1.0655882092667244","278"
"1237","EPZ004777","DOT1L","-1.0636261584212003","278"
"1786","AZD4547","FGFR1, FGFR2, FGFR3","-1.0583972100689558","278"
"1819","Docetaxel","Microtubule stabiliser","-1.0546833269147291","278"
"1782","GSK2830371A","PPM1D","-1.052756695064254","278"
"1014","Refametinib","MEK1, MEK2","-1.0407459926693257","278"
"1940","WIKI4","TNKS1, TNKS2","-1.0324667394842506","278"
"1824","123138","","-1.0322224010856389","278"
"1083","Crizotinib","MET, ALK, ROS1","-1.0299038125406377","278"
"1004","Vinblastine","Microtubule destabiliser","-1.0199569137663174","278"
"1939","UMI-77","MCL1","-1.0055066257285743","278"
"1067","CCT007093","PPM1D","-.98837138289740134","278"
"2045","AMG-319","PI3K (beta sparing)","-.98819298633516317","278"
"1714","ERK_6604","ERK1,ERK2","-.9862658285487873","278"
"1832","729189","","-.97011140672021579","278"
"1007","Docetaxel","Microtubule stabiliser","-.96524740733335723","278"
"1060","PD0325901","MEK1, MEK2","-.96235907231828033","278"
"1585","BDF00022089a","BRPF1, BRPF2, BRPF3","-.95990168594047365","278"
"1086","BI-2536","PLK1, PLK2, PLK3","-.95363519007255981","278"
"1847","BEN","","-.95131356553793633","278"
"2148","POMHEX","","-.95080370212755239","278"
"2177","SGC0946","DOT1L","-.94913261537794713","278"
"1576","IWP-2","PORCN","-.93586066240492571","278"
"1463","AZD1332","NTRK1, NTRK2, NTRK3","-.93160319748469222","278"
"2057","Remodelin","","-.92889379555434093","278"
"1839","615590","","-.92343498719741435","278"
"1818","Vincristine","","-.91041049710215027","278"
"1814","Nelarabine","","-.90184948900814255","278"
"1510","Linsitinib","IGF1R","-.88525956592790189","278"
"1812","Bleomycin","dsDNA break induction","-.88103680785453364","278"
"1558","Lapatinib","EGFR, ERBB2","-.87221159013108729","278"
"1709","CDK9_5038","CDK9","-.86792374218908153","278"
"1817","Romidepsin","HDAC1, HDAC2, HDAC3, HDAC8","-.8609484461975041","278"
"1825","Podophyllotoxin bromide","","-.85583192177349021","278"
"2040","Foretinib","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR","-.85025785179832436","278"
"1828","720427","","-.84928304027582258","278"
"2498","alpha-lipoic acid","Metabolism","-.84607787041001636","278"
"1807","Carmustine","","-.8459494879079682","278"
"1831","L-Oxonoreleagnine","","-.84253854536616879","278"
"1025","SB216763","GSK3A, GSK3B","-.842082810538478","278"
"1131","PRIMA-1MET","TP53 activation","-.84039417963131413","278"
"1026","Tanespimycin","HSP90","-.80469330332124345","278"
"2154","GSK-LSD1-2HCl ","LSD1","-.78597939003629547","278"
"1713","ERK_2440","ERK1,ERK2","-.78413974327336688","278"
"1043","JNK Inhibitor VIII","JNK","-.78412062719977393","278"
"1598","LGK974","PORCN","-.77759555885642195","278"
"1830","Gallibiscoquinazole","","-.76264207286379904","278"
"1010","Gefitinib","EGFR","-.76074771963381471","278"
"1180","Dinaciclib","CDK1, CDK2, CDK5, CDK9","-.75882483694380864","278"
"1032","Afatinib","EGFR, ERBB2","-.73545557841299491","278"
"1512","Cyclophosphamide","Alkylating agent","-.72793438921711184","278"
"2043","BIBR-1532","TERT","-.70215321344170889","278"
"2000","N27922-53-1","","-.70184402486763731","278"
"1909","Venetoclax","BCL2","-.69478390242669008","278"
"1732","TAF1_5496","TAF1","-.68649220558868029","278"
"1852","LY2109761","TGFB1","-.63777427523020569","278"
"2003","N29087-69-1","","-.63723699337337203","278"
"1080","Paclitaxel","Microtubule stabiliser","-.62245734958849575","278"
"1069","EHT-1864","RAC1, RAC2, RAC3","-.6065254514670273","278"
"1815","Dacarbazine","CP11A","-.60375752372236002","278"
"1853","OF-1","BRPF1B, BRPF2","-.59248774701337414","278"
"1062","Selumetinib","MEK1, MEK2","-.58878315087120847","278"
"1560","Alpelisib","PI3Kalpha","-.55187431472407578","278"
"1736","Selumetinib","MEK1, MEK2","-.52757522427418357","278"
"1042","Doramapimod","p38, JNK2","-.52387944291763955","278"
"1053","MK-2206","AKT1, AKT2","-.51205436992520581","278"
"2106","Uprosertib","AKT1, AKT2, AKT3","-.50327441487421121","278"
"1997","WEHI-539","BCL-XL","-.46704325524565693","278"
"1428","IAP_5620","IAP","-.45095665201218071","278"
"1915","AZD3759","EGFR","-.44185317097396182","278"
"1922","Cediranib","VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB","-.42374293684463749","278"
"2002","N30652-18-1","","-.41545275112942515","278"
"1927","GSK2578215A","LRRK2","-.40827632785916695","278"
"1916","AZD5363","AKT1, AKT2, AKT3, ROCK2","-.40422159730374713","278"
"1738","IGF1R_3801","IGFR1","-.38192437469977941","278"
"1919","Osimertinib","EGFR","-.38148699952857379","278"
"1557","LCL161","XIAP, IAP1, IAP2","-.34731065808321937","278"
"1549","Sapitinib","EGFR, ERBB2, ERBB3","-.28008320449101309","278"
"1617","AZD5582","XIAP, cIAP","-.25452769904467465","278"
"1827","Dihydrorotenone","","-.22378418814957654","278"
"1564","SCH772984","ERK1, ERK2","-.21745941489653411","278"
"1372","Trametinib","MEK1, MEK2","-.1956593139624816","278"
"1910","ABT737","BCL2, BCL-XL,  BCL-W, BCL-B, BFL1","-.18083939118921616","278"
"1829","667880","","-.11222474950779614","278"
"1778","GSK2110183B","AKT1, AKT2, AKT3","-.10416726019832488","278"
"1268","XAV939","TNKS1, TNKS2","-.09129089430335767","278"
"1941","Sepantronium bromide","BIRC5","-.091229214568297079","278"
"1834","743380","","-.075619622122443969","278"
"1833","741909","","-.05120236201667764","278"
"1058","Pictilisib","PI3K (class 1)","-.00045558342728038796","278"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT",".0085490617939709326","278"
"1011","Navitoclax","BCL2, BCL-XL, BCL-W",".0093517933303505114","278"
"1924","Ipatasertib","AKT1, AKT, AKT3",".094971648832162997","278"
"1813","Fludarabine","Antimetabolite",".1363259661896955","278"
"1799","Ibrutinib","BTK",".15760684955799392","278"
"1804","Acetalax","",".21500860922181103","278"
"1803","Acetalax","",".25902196831523416","278"
"1553","Uprosertib","AKT1, AKT2, AKT3",".2746846041265133","278"
"1918","AZD8186","PI3Kalpha, PI3Kbeta",".42183366057622051","278"
"1912","Afuresertib","AKT1, AKT2, AKT3",".47498904334326825","278"
"1561","Taselisib","PI3K (beta sparing)",".57787292002120838","278"
