ID,Drug Name,Targets,Z Score,Count
"2046","MK-8776","CHEK1, CHEK2, CDK2","-1.4522331925528531","281"
"1086","BI-2536","PLK1, PLK2, PLK3","-1.4520989823641128","281"
"1835","Elephantin","","-1.4428274789221123","281"
"2044","Pyridostatin","G-quadruplex stabiliser","-1.4411456184891995","281"
"2439","glutathione","anti-oxidant proteins","-1.4228346181175784","281"
"1249","BMS-345541","IKK-1, IKK-2","-1.4215926221840147","281"
"1843","LMP744","TOP1","-1.4100217555361407","281"
"1559","Luminespib","HSP90","-1.3969360770387649","281"
"1177","Niraparib","PARP1, PARP2","-1.3931541877893179","281"
"2154","GSK-LSD1-2HCl ","LSD1","-1.3867462892995559","281"
"1873","Buparlisib","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","-1.3818213108587567","281"
"1829","667880","","-1.3790811892335744","281"
"1630","Entospletinib","SYK","-1.376516520254581","281"
"1631","PRT062607","SYK","-1.3659367753929157","281"
"2156","5-azacytidine","DNA methyltransferases","-1.362598933392787","281"
"1779","GSK626616AC","DYRK1A","-1.3612990387593751","281"
"1716","IRAK4_4710","IRAK4","-1.3461686656006009","281"
"1853","OF-1","BRPF1B, BRPF2","-1.3429651907138538","281"
"1825","Podophyllotoxin bromide","","-1.3395756791131972","281"
"1083","Crizotinib","MET, ALK, ROS1","-1.3316481963092324","281"
"1050","ZM447439","AURKA, AURKB","-1.3300211536533713","281"
"1817","Romidepsin","HDAC1, HDAC2, HDAC3, HDAC8","-1.3213801966419558","281"
"2362","THR-103","Mutant RAS","-1.3196336328091611","281"
"1777","GSK2276186C","JAK1, JAK2, JAK3","-1.3138680019624049","281"
"1179","MK-1775","WEE1, PLK1","-1.3120120719713226","281"
"1598","LGK974","PORCN","-1.3073327536003447","281"
"2111","VE821","ATR","-1.3040720933392655","281"
"2055","Mycophenolic acid","","-1.2995088685323073","281"
"2037","GSK343","EZH2","-1.2980932062485782","281"
"1844","776928","","-1.2938247666774201","281"
"1043","JNK Inhibitor VIII","JNK","-1.2934430112578623","281"
"1021","Axitinib","PDGFR, KIT, VEGFR","-1.2863553231515574","281"
"1049","PD173074","FGFR1, FGFR2, FGFR3","-1.2808109607158753","281"
"1019","Bosutinib","SRC, ABL, TEC","-1.270010765157142","281"
"1808","Topotecan","TOP1","-1.2682768544366652","281"
"1854","MN-64","TNKS1, TNKS2","-1.2596415394543932","281"
"2039","AGK2","BAZ2A, BAZ2B","-1.2549738062327684","281"
"1012","Vorinostat","HDAC inhibitor Class I, IIa, IIb, IV","-1.2493693586390475","281"
"1580","GSK2801","","-1.2446578135137447","281"
"1838","Sinularin","","-1.2204598211340791","281"
"1038","NU7441","DNAPK","-1.2203680880523626","281"
"1818","Vincristine","","-1.2143549925447139","281"
"2107","LJI308","RSK2, RSK1, RSK3","-1.2124049576412099","281"
"1916","AZD5363","AKT1, AKT2, AKT3, ROCK2","-1.1981056153915972","281"
"1507","Ruxolitinib","JAK1, JAK2","-1.1915985760752887","281"
"1052","RO-3306","CDK1","-1.1892255698479373","281"
"1180","Dinaciclib","CDK1, CDK2, CDK5, CDK9","-1.185893938959256","281"
"1831","L-Oxonoreleagnine","","-1.1795959434979821","281"
"1029","Motesanib","VEGFR, RET, KIT, PDGFR","-1.171144624392741","281"
"1930","Telomerase Inhibitor IX","Telomerase","-1.1700359038812862","281"
"1512","Cyclophosphamide","Alkylating agent","-1.1653927889702262","281"
"1018","Veliparib","PARP1, PARP2","-1.1502406948447357","281"
"2096","VX-11e","ERK2","-1.1468013362070104","281"
"1048","Mirin","MRE11","-1.1445572381692888","281"
"1730","PAK_5339","PAK1, PAK2","-1.1413659521602251","281"
"1190","Gemcitabine","Pyrimidine antimetabolite","-1.1379820294098482","281"
"1511","Epirubicin","Anthracycline","-1.1181118748405035","281"
"1030","KU-55933","ATM","-1.1096492567213598","281"
"1557","LCL161","XIAP, IAP1, IAP2","-1.1068505114228051","281"
"1149","TW 37","BCL2, BCL-XL, MCL1","-1.0985103771429812","281"
"1778","GSK2110183B","AKT1, AKT2, AKT3","-1.096977540366052","281"
"1576","IWP-2","PORCN","-1.0937217670506252","281"
"1072","Avagacestat","Amyloid beta20, Amyloid beta40","-1.0896600772658043","281"
"1998","BPD-00008900","","-1.0879354741525693","281"
"1449","AZD1208","PIM1, PIM2, PIM3","-1.0833607261446871","281"
"2361","THR-102","Mutant RAS","-1.0719729203921975","281"
"2148","POMHEX","","-1.0628793686308213","281"
"1739","JAK_8517","JAK1, JAK2","-1.0549453617701745","281"
"1563","EPZ5676","DOT1L","-1.0537364321917158","281"
"1046","Wee1 Inhibitor","WEE1, CHEK1","-1.046937491139466","281"
"1713","ERK_2440","ERK1,ERK2","-1.0443015129762241","281"
"2157","A-366","EHMT1, EHMT2","-1.0434831224398622","281"
"1510","Linsitinib","IGF1R","-1.0406965311531666","281"
"1007","Docetaxel","Microtubule stabiliser","-1.0296581553769766","281"
"1593","Entinostat","HDAC1, HDAC3","-1.0040511837645043","281"
"1036","PLX-4720","BRAF","-.99672666724674741","281"
"1862","MG-132","Proteasome, CAPN1","-.99163414239768288","281"
"1718","JAK1_8709","JAK1","-.99022330142098358","281"
"1494","SN-38","TOP1","-.98717059231828885","281"
"1627","GSK343","EZH2","-.98602273939603713","281"
"1924","Ipatasertib","AKT1, AKT, AKT3","-.98533416155381515","281"
"2048","Vinorelbine","Microtubule destabiliser","-.98492992558265446","281"
"1013","Nilotinib","ABL","-.97837854681320924","281"
"2171","BMS-754807","IGF1R, IR","-.97753378581876593","281"
"2040","Foretinib","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR","-.97608281039650857","281"
"1553","Uprosertib","AKT1, AKT2, AKT3","-.97531917958418268","281"
"1919","Osimertinib","EGFR","-.97036070016319043","281"
"1908","Ulixertinib","ERK1, ERK2","-.96506035348082186","281"
"1131","PRIMA-1MET","TP53 activation","-.95252033293338367","281"
"1005","Cisplatin","DNA crosslinker","-.95084512322539694","281"
"1582","SGC-CBP30","EP300, CBP","-.93591128163867554","281"
"1613","VE-822","ATR","-.92568870472135978","281"
"2106","Uprosertib","AKT1, AKT2, AKT3","-.92144493950716488","281"
"1828","720427","","-.91491036154393868","281"
"1803","Acetalax","","-.89318764693020991","281"
"1088","Irinotecan","TOP1","-.89236442722908282","281"
"1738","IGF1R_3801","IGFR1","-.8885985114733832","281"
"1583","GSK-LSD1","KDM1","-.88379841325167885","281"
"1560","Alpelisib","PI3Kalpha","-.87915294369792496","281"
"1085","Sorafenib","PDGFR, KIT, VEGFR, RAF","-.86945983133759985","281"
"1080","Paclitaxel","Microtubule stabiliser","-.86180774085406842","281"
"1378","Bleomycin (50 uM)","dsDNA break induction","-.8441172905390677","281"
"1827","Dihydrorotenone","","-.83236299334985597","281"
"1463","AZD1332","NTRK1, NTRK2, NTRK3","-.82546370356006604","281"
"1911","Dactinomycin","RNA polymerase","-.81883004303797358","281"
"1847","BEN","","-.81737259045395116","281"
"2113","VTP-B","","-.80927554836057503","281"
"1733","ULK1_4989","ULK1","-.80830412975368016","281"
"1067","CCT007093","PPM1D","-.79830593092692403","281"
"1824","123138","","-.78261412560777477","281"
"1939","UMI-77","MCL1","-.77495518570878352","281"
"1558","Lapatinib","EGFR, ERBB2","-.77123584131406031","281"
"1191","Bortezomib","Proteasome","-.76620140289210759","281"
"1941","Sepantronium bromide","BIRC5","-.75795790095178661","281"
"2109","AZ6102","TNKS1, TNKS2","-.75628560620063168","281"
"1832","729189","","-.75049558424776786","281"
"2498","alpha-lipoic acid","Metabolism","-.72950839804858836","281"
"1917","AZD6738","ATR","-.71935945594914974","281"
"1814","Nelarabine","","-.71655161990910976","281"
"1839","615590","","-.71435435185141405","281"
"1922","Cediranib","VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB","-.71375066653332708","281"
"1003","Camptothecin","TOP1","-.71060944247698232","281"
"1586","BDILV000379a","BAZ2A, BAZ2B","-.69572774365578993","281"
"2170","AT13148","AKT1","-.69281729076480825","281"
"2177","SGC0946","DOT1L","-.69016907021101193","281"
"1058","Pictilisib","PI3K (class 1)","-.67303584221920665","281"
"1585","BDF00022089a","BRPF1, BRPF2, BRPF3","-.66594345902406282","281"
"1248","Daporinad","NAMPT","-.65641545641777699","281"
"2000","N27922-53-1","","-.65147389515409859","281"
"1237","EPZ004777","DOT1L","-.63521125772111431","281"
"1032","Afatinib","EGFR, ERBB2","-.62651823136661833","281"
"1373","Dabrafenib","BRAF","-.62370179814052518","281"
"1932","NVP-ADW742","IGF1R","-.60149851297994716","281"
"1022","AZD7762","CHEK1, CHEK2","-.58578531150954605","281"
"1799","Ibrutinib","BTK","-.56571289970986882","281"
"1915","AZD3759","EGFR","-.52230892873286339","281"
"1830","Gallibiscoquinazole","","-.51091262954209871","281"
"1006","Cytarabine","Antimetabolite","-.4929028366796846","281"
"1017","Olaparib","PARP1, PARP2","-.46775194776769108","281"
"1714","ERK_6604","ERK1,ERK2","-.45167344940812976","281"
"1834","743380","","-.44860956924142498","281"
"1912","Afuresertib","AKT1, AKT2, AKT3","-.44347393393140733","281"
"1034","Staurosporine","Broad spectrum kinase inhibitor","-.44265754949340541","281"
"1812","Bleomycin","dsDNA break induction","-.44202105621139404","281"
"1804","Acetalax","","-.43000335622424862","281"
"1936","Savolitinib","MET","-.41355889410129382","281"
"2043","BIBR-1532","TERT","-.41266255422811537","281"
"2110","GSK591","PMRT5","-.37959519728586394","281"
"1061","SB590885","BRAF","-.35757756747469605","281"
"1617","AZD5582","XIAP, cIAP","-.34107911684129816","281"
"2112","VTP-A","","-.33254057722030161","281"
"2438","ascorbate (vitamin C)","anti-oxidant proteins","-.31785484744670439","281"
"1996","MIM1","MCL1","-.31362251529574053","281"
"1561","Taselisib","PI3K (beta sparing)","-.28817653377476882","281"
"1428","IAP_5620","IAP","-.28431678944414973","281"
"1564","SCH772984","ERK1, ERK2","-.27300343580733089","281"
"1042","Doramapimod","p38, JNK2","-.23675839298951035","281"
"1913","AGI-5198","IDH1 (R132H)","-.20972629834851855","281"
"1549","Sapitinib","EGFR, ERBB2, ERBB3","-.19636279278953836","281"
"1786","AZD4547","FGFR1, FGFR2, FGFR3","-.18531067795626166","281"
"1010","Gefitinib","EGFR","-.17003157015392206","281"
"1833","741909","","-.14261469285020598","281"
"1584","BDOCA000347a","BRPF1, BRPF2, BRPF3","-.12077087591101705","281"
"1062","Selumetinib","MEK1, MEK2","-.005182081980340569","281"
"1025","SB216763","GSK3A, GSK3B",".012259645149094991","281"
"1918","AZD8186","PI3Kalpha, PI3Kbeta",".016769209455583637","281"
"1168","Erlotinib","EGFR",".020046479038287806","281"
"1091","BMS-536924","IGF1R, IR",".025893576593813632","281"
"1820","123829","",".087714737590835215","281"
"1259","Talazoparib","PARP1, PARP2",".10461010105308755","281"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT",".1087937149068124","281"
"1023","GW441756","NTRK1",".15140180565423508","281"
"1268","XAV939","TNKS1, TNKS2",".18414399893788783","281"
"1014","Refametinib","MEK1, MEK2",".19601061883086288","281"
"1909","Venetoclax","BCL2",".20091687609794373","281"
"1813","Fludarabine","Antimetabolite",".23585116555740387","281"
"1011","Navitoclax","BCL2, BCL-XL, BCL-W",".32420760332467319","281"
"1736","Selumetinib","MEK1, MEK2",".37141432294344379","281"
"1060","PD0325901","MEK1, MEK2",".3900733014840872","281"
"1372","Trametinib","MEK1, MEK2",".40737268098999369","281"
"1940","WIKI4","TNKS1, TNKS2",".43375860666077592","281"
"1910","ABT737","BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",".58319605954775811","281"
"1997","WEHI-539","BCL-XL",".66408161084589268","281"
